n	precision	recall
10	1	0
50	0.3	0.001
100	0.538	0.007
200	0.481	0.012
250	0.552	0.018
500	0.521	0.03
1000	0.498	0.049
1500	0.452	0.061
2000	0.419	0.072
2500	0.383	0.079
5000	0.262	0.094
5273	0.248	0.095
10000	0.173	0.111
10535	0.168	0.113
15798	0.133	0.13
21061	0.112	0.139
25000	0.105	0.148
26323	0.102	0.151
31586	0.095	0.163
36848	0.087	0.169
42111	0.082	0.181
47374	0.075	0.186
50000	0.074	0.191
52636	0.072	0.196
57899	0.069	0.206
63162	0.066	0.215
68424	0.064	0.223
73687	0.062	0.231
78949	0.059	0.234
84212	0.057	0.242
89475	0.055	0.245
94737	0.052	0.248
1e+05	0.051	0.251
